label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate
male,-366.6001281738281,149.6424560546875,-10.056373596191406,30.164533615112305,-7.584356784820557,18.330886840820312,-27.980854034423828,12.858466148376465,-13.769092559814453,4.823813438415527,3.1357502937316895,-3.4421565532684326,-0.029611283913254738,1722.1890751529272,1631.1923790373849,3223.647173713235,0.1043136981355042
male,-249.26242065429688,97.9119644165039,-20.877307891845703,58.87895202636719,-36.12901306152344,32.418460845947266,-32.7540168762207,13.6616849899292,-14.513298988342285,-0.6356876492500305,-0.217982217669487,-8.376599311828613,5.705587387084961,2486.438633726129,2086.358201891093,4937.964333327118,0.14596346397673032
male,-340.04217529296875,130.87973022460938,-19.66338348388672,64.66886138916016,-11.158971786499023,4.310545921325684,-22.44208526611328,-2.721252202987671,-12.942378044128418,-2.6502997875213623,-6.83067512512207,-9.462445259094238,-2.77642560005188,1601.961046938167,1498.062812822748,3008.4162120440865,0.09376106586402266
male,-192.68470764160156,140.55992126464844,-19.27280616760254,61.04560852050781,-24.02276611328125,9.796225547790527,-27.657020568847656,1.1203227043151855,-13.819196701049805,-10.508233070373535,-2.806213140487671,-14.666138648986816,-8.412860870361328,1406.97468519022,1606.0674868211797,2980.395621366279,0.06998319404069768
male,-224.6023712158203,168.69802856445312,-59.17610168457031,24.212581634521484,-27.015239715576172,7.3112568855285645,-25.80105209350586,-2.9485254287719727,-3.7492613792419434,1.2509939670562744,-1.1528712511062622,-3.8956875801086426,-0.7852619886398315,1462.973271920367,1352.2253410748701,2739.38232421875,0.08674045138888889
male,-258.2207336425781,159.34901428222656,-14.05685043334961,42.26007843017578,-17.139636993408203,32.46859359741211,-23.846416473388672,0.6371555924415588,-13.558416366577148,-2.7105722427368164,0.8441082239151001,-2.7625694274902344,9.150529861450195,1381.483703167778,1589.192498345924,2724.608154296875,0.07390407986111111
male,-332.0723571777344,149.03407287597656,-14.67052936553955,60.1338996887207,-18.604772567749023,14.043688774108887,-18.063251495361328,4.954619407653809,-11.62609577178955,-3.1937437057495117,1.2233563661575317,-4.540702819824219,5.09602165222168,1535.0358580054158,1503.3176606338936,2943.5798196231617,0.09005711659663866
male,-287.0896301269531,148.42779541015625,-85.2334213256836,50.426063537597656,-20.987180709838867,-10.21568489074707,-19.2452392578125,-16.367555618286133,-14.274589538574219,-5.911361217498779,-1.4167028665542603,-4.2782301902771,5.714818477630615,1764.1329129403039,1353.4317202499753,3301.468028192935,0.11304064764492754
male,-205.33718872070312,118.14369201660156,-49.693519592285156,63.751686096191406,-30.406030654907227,9.955625534057617,-30.742412567138672,7.4499993324279785,-25.275068283081055,2.7664520740509033,-4.514225482940674,-5.924588680267334,6.578978061676025,2185.7314882901364,1721.4824212334133,3912.535682091346,0.12767481541895603
male,-341.4732971191406,137.3750457763672,-16.149581909179688,44.16122817993164,-17.721181869506836,9.899918556213379,-16.185749053955078,10.258166313171387,-18.401899337768555,-12.356852531433105,3.095201015472412,-5.835831165313721,-2.8724231719970703,1593.4574233781561,1631.1226083066756,3155.5311554939517,0.0899250252016129
male,-199.33590698242188,130.88577270507812,-23.025733947753906,51.27359390258789,-27.46796417236328,18.303348541259766,-30.069339752197266,5.37169885635376,-10.151887893676758,-8.699300765991211,-6.458674907684326,-6.913786888122559,7.15364933013916,1809.118227543599,1802.077869634753,3690.6884765625,0.0922456287202381
male,-324.5795593261719,173.7796173095703,-28.932838439941406,19.080276489257812,-6.046144008636475,-7.5990519523620605,-17.91472053527832,-8.81118392944336,-12.981151580810547,-3.826169967651367,-5.453857421875,0.3446195125579834,0.33228451013565063,1194.8136620440077,1193.8955527053893,2187.103271484375,0.06775774274553571
male,-414.53802490234375,96.98872375488281,-60.6506462097168,49.15614700317383,-44.41864776611328,17.135578155517578,-28.951805114746094,-3.8450798988342285,-22.527210235595703,-3.677098035812378,-13.675923347473145,-5.0645670890808105,-0.441015362739563,2598.2056136161905,1818.8618146189958,4637.844055444659,0.1833076645099119
male,-316.61407470703125,139.0810546875,4.655230522155762,31.74207305908203,-15.302399635314941,16.48093032836914,-26.331663131713867,-12.170978546142578,-8.576996803283691,-15.45815658569336,-16.070058822631836,-5.862505912780762,-6.027746677398682,1426.2609384542618,1470.5286054870637,2694.500373391544,0.0740057253370098
male,-316.7250061035156,113.63553619384766,-42.491424560546875,22.36791229248047,-36.16531753540039,-13.73095703125,-35.414920806884766,-8.956079483032227,-24.127912521362305,-10.62988567352295,-4.580844402313232,-17.415193557739258,-8.05412483215332,1831.2967941224956,1509.063714400563,3264.70870249655,0.11473454135449526
male,-311.011474609375,142.35816955566406,-19.239408493041992,61.380897521972656,-31.68258285522461,16.91547966003418,-18.889419555664062,4.7870988845825195,-20.369394302368164,2.2452499866485596,-2.615964651107788,-8.691119194030762,10.317110061645508,1587.7887884466147,1708.9125602913657,3272.291324013158,0.08306492141812866
male,-234.71347045898438,148.1184844970703,-26.18012237548828,65.12802124023438,-8.31254768371582,27.637842178344727,-19.010141372680664,12.62875747680664,-26.106327056884766,-6.427084922790527,-2.7495551109313965,-8.154587745666504,3.0081751346588135,1540.6999604491652,1604.5127743958963,3135.803643588362,0.0839563128591954
